Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Total Sales,Rating,Visibility Category
Regular,FDX32,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.1,15.1,145.48,5.0,High Visibility
Low Fat,NCB42,Health and Hygiene,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.009,11.8,115.35,5.0,Low Visibility
Regular,FDR28,Frozen Foods,2010,OUT046,Tier 1,Small,Supermarket Type1,0.026,13.85,165.02,5.0,Low Visibility
Regular,FDL50,Canned,2000,OUT013,Tier 3,High,Supermarket Type1,0.042,12.15,126.5,5.0,Low Visibility
Low Fat,DRI25,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.034,19.6,55.16,5.0,Low Visibility
Low Fat,FDS52,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.006,8.89,102.4,5.0,Low Visibility
Low Fat,NCU05,Health and Hygiene,2011,OUT010,Tier 3,Small,Grocery Store,0.098,11.8,81.46,5.0,High Visibility
Low Fat,NCD30,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.027,19.7,96.07,5.0,Low Visibility
Low Fat,FDW20,Fruits and Vegetables,2000,OUT013,Tier 3,High,Supermarket Type1,0.024,20.75,124.17,5.0,Low Visibility
Low Fat,FDX25,Canned,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.102,12.15,181.93,5.0,High Visibility
Low Fat,FDX21,Snack Foods,1998,OUT027,Tier 3,Medium,Supermarket Type3,0.085,13.15,109.89,5.0,High Visibility
Low Fat,NCU41,Health and Hygiene,2017,OUT035,Tier 2,Small,Supermarket Type1,0.052,18.85,192.18,5.0,Low Visibility
Low Fat,FDL20,Fruits and Vegetables,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.129,17.1,112.39,5.0,High Visibility
Low Fat,NCR54,Household,2000,OUT013,Tier 3,High,Supermarket Type1,0.09,16.35,195.21,5.0,High Visibility
